"ID","Z_DGwin_SEM_striatum","Z_DGwin_BS_SD3min2_with_DA","Z_DGwin_TaskSD_avg_Yeo1_Vis_32change","Z_DGwin_TaskSD_avg_Yeo3_DAN_32change","Z_DGwin_TaskSD_avg_Yeo6_FPN_32change","Z_DGwin_TaskSD_avg_Yeo7_DMN_32change","Z_DGwin_PCAdimTEMP_BGHATMorel_32change","Z_DGwin_PCAdimTEMP_Yeo1_Vis_32change","Z_DGwin_PCAdimTEMP_Yeo3_DAN_32change","Z_DGwin_PCAdimTEMP_Yeo6_FPN_32change","Z_DGwin_PCAdimTEMP_Yeo7_DMN_32change","Z_DGwin_HDDMwBias_a_3min2back","Z_DGwin_HDDMwBias_v_3min2back","Z_DGwin_HDDMwBias_t_3min2back","Z_DGwin_HDDMwBias_z_3min2back","Z_DGwin_HDDMwBias_dc_3min2back","DGwin_TaskSD_avg_BGHATMorel_2back","DGwin_TaskSD_avg_BGHATMorel_3back","DGwin_TaskSD_avg_Yeo1_Vis_2back","DGwin_TaskSD_avg_Yeo1_Vis_3back","DGwin_TaskSD_avg_Yeo3_DAN_2back","DGwin_TaskSD_avg_Yeo3_DAN_3back","DGwin_TaskSD_avg_Yeo6_FPN_2back","DGwin_TaskSD_avg_Yeo6_FPN_3back","DGwin_TaskSD_avg_Yeo7_DMN_2back","DGwin_TaskSD_avg_Yeo7_DMN_3back","DGwin_PCAdimTEMP_BGHATMorel_2back","DGwin_PCAdimTEMP_BGHATMorel_3back","DGwin_PCAdimTEMP_Yeo1_Vis_2back","DGwin_PCAdimTEMP_Yeo1_Vis_3back","DGwin_PCAdimTEMP_Yeo3_DAN_2back","DGwin_PCAdimTEMP_Yeo3_DAN_3back","DGwin_PCAdimTEMP_Yeo6_FPN_2back","DGwin_PCAdimTEMP_Yeo6_FPN_3back","DGwin_PCAdimTEMP_Yeo7_DMN_2back","DGwin_PCAdimTEMP_Yeo7_DMN_3back","DGwin_HDDMwBias_a_2back","DGwin_HDDMwBias_a_3back","DGwin_HDDMwBias_v_2back","DGwin_HDDMwBias_v_3back","DGwin_HDDMwBias_t_2back","DGwin_HDDMwBias_t_3back","DGwin_HDDMwBias_z_2back","DGwin_HDDMwBias_z_3back","DGwin_HDDMwBias_dc_2back","DGwin_HDDMwBias_dc_3back","meanRT2","meanRT3","meanRT3min2","sdRT2","sdRT3","sdRT3min2","accuracy2","accuracy3","accuracy3min2","WAISscoren.o.correct","eduy","agewave1","WM","Speed"
41,-1.0352485911115,-0.1148948,-1.32919030120496,-1.40758944150566,-1.24107818071218,-1.32438239317194,0.617316372001379,1.19968967015054,1.80267130641679,1.9917265306523,1.42268451541486,-0.438162348601077,0.84779430703302,0.011071376012532,-0.351171440771708,-0.945464222369921,0.2,0.16,0.44,0.35,0.33,0.25,0.34,0.28,0.28,0.23,20,21,12,14,15,18,14,17,17,19,1.55,1.68,0.76,0.91,0.32,0.25,0.55,0.51,-0.28,-0.16,0.781,0.855,0.074,0.302286842838942,0.310596860569965,0.00831001773102297,0.672727272727273,0.8,0.127272727272727,39,18,66,54.86,48.61
43,0.717065282484805,-0.15310372,-0.339592833886092,-0.870017594498472,-1.83154983298541,-1.88271306509577,0.617316372001379,-1.21025962319152,-0.227003053400633,-0.779371251124813,0.644813845116088,-0.960520599482361,-2.38576510558901,-1.24211416412939,-1.37767257533516,-0.479540585384332,0.22,0.16,0.54,0.51,0.28,0.23,0.38,0.29,0.33,0.26,20,21,8,7,14,14,15,14,15,16,1.78,1.56,1.87,0.81,0.56,0.46,0.6,0.51,-0.5,-0.51,0.958,0.983,0.025,0.212466372646453,0.211984747879024,-0.000481624767428912,0.927536231884058,0.704918032786885,-0.222618199097173,51,15,66,55.34,68.2
45,1.30116990701691,-0.065484859,-0.551649434025849,-1.00441055625027,-0.910414055439171,-0.766051721248117,1.44768883699439,0.396373239036523,0.449555066538508,1.29895208520802,1.42268451541486,0.354702853629444,-0.657156556754725,-0.549878341955757,0.424963563410415,-0.327219396369813,0.17,0.15,0.3,0.25,0.28,0.23,0.31,0.26,0.26,0.22,21,23,18,19,18,19,17,19,18,20,1.67,1.59,1.39,0.81,0.56,0.52,0.6,0.58,-0.56,-0.55,1.0135,1.0865,0.073,0.21618752631002,0.257598181377512,0.0414106550674922,0.867647058823529,0.724137931034483,-0.143509127789047,31,13,66,47.89,47.58
46,-1.96981599036287,-0.0041934354,-0.799048800855566,0.339519061267696,0.365004713471004,0.211026954618578,-0.213056092991627,0.396373239036523,-0.903561173339774,-0.0865968056805348,-0.910927495481457,1.20353501131153,1.26099240313595,-0.526008141191149,-0.476354505962372,0.506067108239028,0.15,0.15,0.43,0.38,0.28,0.29,0.24,0.25,0.2,0.2,22,22,9,10,14,13,15,15,18,17,1.53,1.55,1.84,1.77,0.45,0.42,0.65,0.6,-0.58,-0.48,0.721,0.739,0.018,0.208987234320955,0.16529963819089,-0.0436875961300655,0.91304347826087,0.919354838709677,0.00631136044880787,35,11,65,56.44,52.55
49,0.425012970218754,0.015739901,1.99302976765124,0.361917888226329,-0.249085804893154,-0.375220250901439,-0.213056092991627,-0.406943192077497,-0.903561173339774,-0.0865968056805348,0.644813845116088,0.0935237281888021,0.874329964580915,-0.0486041258989881,0.55014662860108,1.73359669029721,0.26,0.26,0.67,0.67,0.5,0.49,0.45,0.44,0.45,0.45,19,19,14,14,16,15,18,18,17,18,1.5,1.4,2.31,1.9,0.45,0.45,0.64,0.64,-0.44,-0.21,0.6885,0.669,-0.0195,0.142988606498628,0.12995406451423,-0.0130345419843981,0.930555555555556,0.936507936507937,0.00595238095238093,31,9,65,58.07,47.72
50,0.541833895125174,0.003664413,-0.233564533816213,-0.0412609970290603,0.530336776107508,0.294776555407151,-0.213056092991627,0.396373239036523,-0.903561173339774,-0.0865968056805348,-0.133056825182685,-2.13582666396525,0.370152471170915,1.53876422494745,-1.55292886660209,0.138704240615775,0.23,0.23,0.27,0.24,0.26,0.25,0.39,0.4,0.32,0.32,20,20,20,21,21,20,19,19,21,21,1.98,1.58,1.78,1.46,0.38,0.52,0.59,0.5,-0.44,-0.38,0.915,0.944,0.0289999999999999,0.24777559681456,0.231537615617718,-0.0162379811968426,0.971428571428571,0.88135593220339,-0.0900726392251816,42,16,65,57.68,68.75
51,1.00911759475086,-0.10969708,-0.869734334235485,-1.00441055625027,-1.47726684162147,-1.35229892676813,0.617316372001379,1.19968967015054,0.449555066538508,1.29895208520802,0.644813845116088,-0.820603210853446,-0.308402200410965,0.440734989775477,0.0744509808765533,1.90383801919579,0.23,0.2,0.54,0.48,0.33,0.27,0.35,0.28,0.32,0.26,20,21,12,14,16,17,15,17,17,18,1.73,1.52,1.78,1.28,0.46,0.5,0.52,0.5,-0.63,-0.37,0.857,0.8825,0.0255000000000001,0.219064864162387,0.25080337809383,0.0317385139314432,0.916666666666667,0.8,-0.116666666666667,40,16,65,56.27,47.62
52,0.833886207391226,0.024807602,0.756032933502655,-0.108457477904959,-0.272704670984083,-0.0681383813433352,-1.87380102297764,-1.21025962319152,-0.227003053400633,-0.779371251124813,-0.910927495481457,1.23151848903731,-0.357682707285627,-1.37340026833474,1.90212373266026,-1.1157055512685,0.17,0.18,0.4,0.42,0.25,0.23,0.31,0.29,0.27,0.26,22,20,14,13,18,18,19,18,20,19,1.61,1.64,1.78,1.27,0.7,0.59,0.5,0.56,-0.48,-0.56,1.047,1.013,-0.034,0.207623376203533,0.233687367911972,0.0260639917084392,0.923076923076923,0.849056603773585,-0.0740203193033382,45,13,66,55.12,63.12
53,0.658654820031595,-0.032644879,0.490962183327958,-0.175653958780857,-1.00488951980289,-0.458969851690013,-1.04342855798463,-0.406943192077497,-0.227003053400633,-0.0865968056805348,0.644813845116088,-0.876570166305012,1.32543614289513,-0.191825330486637,-1.45278241444956,0.801749416326036,0.23,0.22,0.4,0.42,0.34,0.32,0.34,0.29,0.31,0.29,20,19,16,16,17,17,17,17,18,19,1.58,1.37,1.17,1.11,0.32,0.31,0.57,0.48,-0.57,-0.44,0.765,0.65,-0.115,0.253401621722017,0.195892652714717,-0.0575089690072997,0.816901408450704,0.761904761904762,-0.0549966465459424,49,15,65,60.3,62.03
56,-0.567964891485821,0.0040800478,0.278905583188201,-0.466838709243082,-0.249085804893154,-0.0681383813433352,-0.213056092991627,0.396373239036523,0.449555066538508,-0.0865968056805348,0.644813845116088,-1.18438842128863,0.851585115254148,0.65556679665695,1.30124501974507,-0.327219396369813,0.22,0.23,0.56,0.56,0.39,0.35,0.37,0.36,0.31,0.31,20,20,7,8,13,14,16,16,16,17,1.51,1.27,1.73,1.54,0.56,0.63,0.52,0.54,-0.52,-0.52,0.872,0.872,0,0.188668359262679,0.1402482284158,-0.0484201308468785,0.884057971014493,0.838709677419355,-0.0453482935951379,32,18,65,60.71,64.62
57,0.541833895125174,0.075367525,0.685347400122736,0.94428738915078,1.35699708929003,0.601858424965255,-1.04342855798463,-1.21025962319152,-0.903561173339774,-1.47214569656909,-1.68879816578023,-1.38027276536911,0.116168320355351,1.04942510927298,-1.0271599928013,-0.255538836833569,0.16,0.18,0.34,0.36,0.29,0.32,0.25,0.3,0.23,0.25,22,21,15,14,14,13,18,16,20,18,1.83,1.55,1.74,1.35,0.41,0.51,0.62,0.55,-0.53,-0.51,0.842,0.918,0.0760000000000001,0.247340530500298,0.220504125494897,-0.0268364050054012,0.929577464788732,0.854545454545455,-0.0750320102432779,43,21,65,58.43,61.12
58,-0.0422707294069285,-0.0255327,-0.0921934670563749,-0.198052785739489,0.0579594542889248,0.294776555407151,-0.213056092991627,1.19968967015054,0.449555066538508,0.606177639763744,-0.133056825182685,-2.13582666396525,-1.29780314612533,1.71779073068201,-0.150878536466644,-0.828983313123524,0.16,0.15,0.32,0.3,0.21,0.19,0.2,0.2,0.18,0.19,22,22,14,16,19,20,20,21,21,21,1.98,1.48,1.52,0.75,0.49,0.64,0.62,0.59,-0.41,-0.46,1.0305,1.0475,0.0169999999999999,0.342662727955449,0.276981045546147,-0.0656816824093022,0.910714285714286,0.66,-0.250714285714286,33,17,64,43.71,31.96
